,sms_message,label
4618,Good. do you think you could send me some pix? I would love to see your top and bottom...,0
966,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,0
2848,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",1
1574,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,1
2966,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..,0
4017,In which place i can get rooms cheap:-),0
3905,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05,1
1162,K. I will sent it again,0
5010,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",0
3310,Okie ü wan meet at bishan? Cos me at bishan now. I'm not driving today.,0
3410,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! ",0
5456,For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk,1
3299,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,1
4426,Just now saw your message.it k da:),0
3535,Good evening! How are you?,0
5463,U GOIN OUT 2NITE?,0
4657,"K, I'll work something out",0
5005,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,0
1412,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,0
3781,Then ur physics get a-?,0
2880,U still painting ur wall?,0
2744,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.,0
438,How long does applebees fucking take,0
2063,Is there any training tomorrow?,0
5568,Will ü b going to esplanade fr home?,0
1699,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",1
23,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0
5233,Hey what how about your project. Started aha da.,0
5518,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",0
1012,"I just got home babe, are you still awake ?",0
4861,"Response is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U""... Gud night..swt dreams..take care",0
1790,Takin a shower now but yeah I'll leave when I'm done,0
3707,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-),0
5033,Ok i vl..do u know i got adsense approved..,0
5029,Go chase after her and run her over while she's crossing the street,0
2854,I doubt you could handle 5 times per night in any case...,0
1990,The basket's gettin full so I might be by tonight,0
2727,No i am not having not any movies in my laptop,0
1889,No. On the way home. So if not for the long dry spell the season would have been over,0
2864,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ",0
4752,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,1
3361,Please attend the phone:),0
5112,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,1
5144,I'm in office now da:)where are you?,0
4606,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?",0
842,"Pls send me a comprehensive mail about who i'm paying, when and how much.",0
4492,"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!",0
4937,K..k.:)congratulation ..,0
2006,Can't take any major roles in community outreach. You rock mel,0
2687,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,0
5008,Oh k. . I will come tomorrow,0
835,Surely result will offer:),0
2011,Dunno lei... I thk mum lazy to go out... I neva ask her yet...,0
744,Ok. There may be a free gym about.,0
1050,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,1
4180,Can ü send me a copy of da report?,0
652,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,0
643,Probably gonna swing by in a wee bit,0
4433,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks,0
1098,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,0
1687,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award,1
3067,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,1
4850,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,0
2039,Hey are we going for the lo lesson or gym? ,0
2203,"(And my man carlos is definitely coming by mu tonight, no excuses)",0
1826,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,0
4598,Full heat pa:-) i have applyed oil pa.,0
5476,Yes princess! I want to please you every night. Your wish is my command...,0
5044,O ic lol. Should play 9 doors sometime yo,0
2977,I love u 2 my little pocy bell I am sorry but I love u,0
4332,Nope i'll come online now..,0
4085,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,0
5412,Gr8. So how do you handle the victoria island traffic. Plus when's the album due,0
3080,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?,0
4256,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge,1
4687,But pls dont play in others life.,0
1268,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,0
1142,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1
823,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",1
332,Maybe i could get book out tomo then return it immediately ..? Or something.,0
3846,Mmmm.... I cant wait to lick it!,0
1309,I jokin oni lar.. Ü busy then i wun disturb ü.,0
116,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0
4891,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,0
5401,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,0
1241,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,0
5073,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.,1
413,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",0
2202,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",0
3285,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*,0
1357,U ned to convince him tht its not possible witot hurting his feeling its the main,0
5557,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,0
5267,Anything lar then ü not going home 4 dinner?,0
125,Ü predict wat time ü'll finish buying?,0
2883,Hi Harish's rent has been transfred to ur Acnt.,0
4001,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",1
2376,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,0
3026,"What part of ""don't initiate"" don't you understand",0
2391,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries,0
3779,"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:""Dont wake up early in d mrng'' GOOD night",0
5306,Ill be at yours in about 3 mins but look out for me,0
1832,Hello- thanx for taking that call. I got a job! Starts on monday!,0
3573,"Yup, leaving right now, be back soon",0
5410,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",0
4179,Two teams waiting for some players,0
2778,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,0
4303,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,0
5152,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,0
2675,I am 6 ft. We will be a good combination!,0
4669,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO ,0
2299,Dont pick up d call when something important is There to tell. Hrishi,0
2810,Oh yeah I forgot. U can only take 2 out shopping at once.,0
5371,"Lol, oh you got a friend for the dog ?",0
1190,In that case I guess I'll see you at campus lodge,0
2885,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,0
5340,Are u awake? Is there snow there?,0
2882,Printer is cool. I mean groovy. Wine is groovying,0
4109,Pls send me your address sir.,0
4021,University of southern california.,0
803,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1
5514,Oh... Okie lor...We go on sat... ,0
4208,"Lets use it next week, princess :)",0
5445,"And that's fine, I got enough bud to last most of the night at least",0
4661,You call him and tell now infront of them. Call him now.,0
3666,Ha... U jus ate honey ar? So sweet...,0
4971,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,0
2306,Still in the area of the restaurant. Ill try to come back soon,0
2577,In sch but neva mind u eat 1st lor..,0
4041,I'm at home n ready...,0
2259,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,0
3161,How much did ur hdd casing cost.,0
2130,Mine here like all fr china then so noisy.,0
4555,Try to do something dear. You read something for exams,0
5037,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,1
4995,My drive can only be read. I need to write,0
2944,No message..no responce..what happend?,0
2554,Ü give me some time to walk there.,0
1818,Well i will watch shrek in 3D!!B),0
4396,"Only just got this message, not ignoring you. Yes, i was. Shopping that is",0
5385,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,0
4750,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx,0
1230,Jus ans me lar. U'll noe later.,0
5396,As in i want custom officer discount oh.,0
3139,Wat r u doing now?,0
2319,On the way to office da..,0
3635,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs,0
39,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0
2281,R ü comin back for dinner?,0
4988,No rushing. I'm not working. I'm in school so if we rush we go hungry.,0
1421,No. She's currently in scotland for that.,0
891,Why do you ask princess?,0
1104,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,0
2232,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",0
3922,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",0
3618,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.,0
3746,"Aight, let me know when you're gonna be around usf",0
4294,You best watch what you say cause I get drunk as a motherfucker,0
286,"K, I might come by tonight then if my class lets out early",0
3585,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,1
1079,Convey my regards to him,0
5170,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,0
3828,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max ,1
3002,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,1
2599,Okie... Thanx...,0
2527,Do u noe how 2 send files between 2 computers?,0
5141,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1
2399,YO YO YO BYATCH WHASSUP?,0
2188,Oh god. I'm gonna Google nearby cliffs now.,0
474,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,1
2381,"If i let you do this, i want you in the house by 8am.",0
97,i see. When we finish we have loads of loans to pay,0
200,"Found it, ENC  &lt;#&gt; , where you at?",0
4149,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,1
2924,Fine am simply sitting.,0
5467,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,1
4047,Win a £1000 cash prize or a prize worth £5000,1
3343,You will go to walmart. I.ll stay.,0
1121,Cancel cheyyamo?and get some money back?,0
5235,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,0
5174,Water logging in desert. Geoenvironmental implications.,0
4198,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,1
829,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",0
257,Mmm so yummy babe ... Nice jolt to the suzy,0
2677,* Am on a train back from northampton so i'm afraid not!,0
2211,Just wanted to say holy shit you guys weren't kidding about this bud,0
8,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1
4159,It certainly puts things into perspective when something like this happens,0
3157,Long time. You remember me today.,0
847,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,0
1723,Thought praps you meant another one. Goodo! I'll look tomorrow ,0
1305,Your right! I'll make the appointment right now.,0
1726,You know there is. I shall speak to you in  &lt;#&gt;  minutes then,0
1849,I dont want to hear philosophy. Just say what happen,0
3164,This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,1
623,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,0
3476,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",0
4399,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.",0
99,I see a cup of coffee animation,0
4958,I'm vivek:)i got call from your number.,0
4071,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,0
2511,Yunny i'm walking in citylink now ü faster come down... Me very hungry...,0
1394,Oh ok..,0
5148,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),0
2951,Where are you ? You said you would be here when I woke ... :-(,0
374,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,0
3200,No de.am seeing in online shop so that i asked.,0
1159,Hey! There's veggie pizza... :/,0
2062,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...",0
4253,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",0
1143,Have you had a good day? Mine was really busy are you up to much tomorrow night?,0
5155,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,0
504,Lolnice. I went from a fish to ..water.?,0
260,I‘m parked next to a MINI!!!! When are you coming in today do you think?,0
90,Yeah do! Don‘t stand to close tho- you‘ll catch something!,0
1124,Good morning princess! How are you?,0
2114,"Yeah, don't go to bed, I'll be back before midnight",0
5488,K. I will sent it again,0
2494,they released another Italian one today and it has a cosign option,0
899,"Thursday night? Yeah, sure thing, we'll work it out then",0
4685,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",0
377,You could have seen me..i did't recognise you Face.:),0
1006,Give me a sec to think think about it,0
3134,So no messages. Had food?,0
2134,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",0
2241,K I'll call you when I'm close,0
1771,Dont show yourself. How far. Put new pictures up on facebook.,0
3266,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",1
4076,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",0
1470,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",0
864,Did u find out what time the bus is at coz i need to sort some stuff out.,0
1904,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,1
2387,No message..no responce..what happend?,0
4563,How much u trying to get?,0
3933,Sos! Any amount i can get pls.,0
1788,Yes:)sura in sun tv.:)lol.,0
512,Prabha..i'm soryda..realy..frm heart i'm sory,0
3305,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,0
3593,I anything lor...,0
1005,Umma. Did she say anything,0
140,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,0
3218,Come to mahal bus stop.. &lt;DECIMAL&gt;,0
307,Jos ask if u wana meet up?,0
4955,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,0
1587,There are no other charges after transfer charges and you can withdraw anyhow you like,0
4183,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",1
2370,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",0
5375,I cant pick the phone right now. Pls send a message,0
931,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),0
794,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,0
3402,Thanks honey. Have a great day.,0
4345,Hi:)did you asked to waheeda fathima about leave?,0
659,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",0
422,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,1
4131,And by when you're done I mean now,0
3260,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate",1
4536,IM LATE TELLMISS IM ON MY WAY,0
3655,Why i come in between you people,0
4026, &lt;#&gt;  in mca. But not conform.,0
4135,Is it your yahoo boys that bring in the perf? Or legal.,0
1544,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",1
2286,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do",0
1202,I know she called me,0
4350,Ü bot notes oredi... Cos i juz rem i got...,0
2243,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,0
4974,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.,0
4863,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,1
3902,That depends. How would you like to be treated? :),0
3631,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,1
5428,You didnt complete your gist oh.,0
3336,"Sorry, got a late start, we're on the way",0
1915,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,1
4658,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,1
4365,So what about you. What do you remember,0
2205,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,0
4860,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",0
2269,88066 FROM 88066 LOST 3POUND HELP,1
761,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.",1
2333,We are both fine. Thanks,0
437,"Ask g or iouri, I've told the story like ten times already",0
292,Haf u found him? I feel so stupid da v cam was working.,0
5414,East coast,0
3263,O shore are you takin the bus,0
3050,Lol they don't know about my awesome phone. I could click delete right now if I want.,0
1700,Ok...,0
1821,I'll probably be by tomorrow (or even later tonight if something's going on),0
3478,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,0
2152,I surely dont forgot to come:)i will always be in touch in with you:-),0
2463,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",0
2244,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,0
403,The hair cream has not been shipped.,0
2510,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",0
2076,Must come later.. I normally bathe him in da afternoon mah..,0
5533,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",0
3013,Yeah no probs - last night is obviously catching up with you... Speak soon ,0
2755,Ok Chinese food on its way. When I get fat you're paying for my lipo.,0
3432,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,0
1460,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,1
3497,Happy birthday... May u find ur prince charming soon n dun work too hard...,0
3843,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season.",0
2182,Ok.,0
2797,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,0
1077,Where can download clear movies. Dvd copies.,0
661,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",0
893,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,0
271,"Come to mu, we're sorting out our narcotics situation",0
3421,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066368470",1
3062,What u talking bout early morning? It's almost noon where your at!,0
4814,i can call in  &lt;#&gt;  min if thats ok,0
5366,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,1
4161,i felt so...not any conveying reason.. Ese he... What about me?,0
4333,ALSO TELL HIM I SAID HAPPY BIRTHDAY,0
165,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1
1021,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",0
469,"Yup, no need. I'll jus wait 4 e rain 2 stop.",0
1102,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",0
4592,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50,1
3487,"Yeah, probably earlier than that",0
4049,Lol or I could just starve and lose a pound by the end of the day.,0
337,Cool. So how come you havent been wined and dined before?,0
1746,"Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",0
4393,what are your new years plans?,0
4518,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",0
3963,"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo",1
3692,"Sir, i am waiting for your call, once free please call me.",0
4378,How much is torch in 9ja.,0
3088,So i asked how's anthony. Dad. And your bf,0
3008,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!,0
