,comment,label
8721,i had to pause the video cus i was drinking water 😂😂😂😂😂,0
6247,So yummy cake is making by you,0
4246,"It was a job well done ☝️☝️
 I got the private key and have access to my money 👍👌☝️☝️",1
2405,Our government is legit the fucking charge 30% income tax on crypto transactions same as gambling taxes,1
7410,been doing this for a while and it def burns so ig its working!!,0
7511,"This is the 3rd time I&#39;m attempting this, I believe I&#39;ll go through with it this time 😉<br><br>Day 1: Hard asf, but I did it rlly, proud of myself cuz this is the first time Ive actually finished this 😩🙏<br><br>Day 2: after yesterday, the space in-between my ribs hurt but it was good pain  it wasn&#39;t as hard as yesterday and time passed by faster and I did the exercises a bit easier. It also wasn&#39;t as painful 😉<br><br>Day 3: it was easier and faster than yesterday and I saw a rlly small change, it&#39;s making me more motivated to continue on 💞<br><br>Day 4: the exercises keeps getting easier and I finished faster than yesterday 💞<br><br>Day 5: the exercises were wayy easier and I barely took any breaks except from the Russian twists, butterfly kicks and scissors kicks, they were still hard, but not as hard as before. Still no changes for now<br><br>Day 6: I almost forgot to do it lol, well, it was easier than yesterday and I took less breaks too, but the Russian twists, scissors and butterfly kicks are still really hard.<br><br>Day 7: same as yesterday but I was super tired today so I kinda had to force myself and power through the workout, so I didn&#39;t perform as well in the exercises😓<br><br>Day 8: my body was exhausted so the excercises felt harder but I did them properly, but I took a couple of breaks.<br><br>Day 9: the exercises feel harder than usual, but I still power through them, and my.neck and legs are feeling the burn more than my stomach for some reason.<br><br>Day 10: I wasn&#39;t motivated to do it today but I powered through it💪<br><br>Day 11: I feel more motivated and the exercises feel harder than before(like 4 days ago), I feel like I was doing it wrongish before lol.<br><br>Day 12: I was too tired so I skipped<br><br>Day:13 ✅️",0
8152,&quot;i say why... would you throw a pen at it if we dont know what it is?&quot; <br>i lost it at this point xddd,0
6706,day 4!,0
10713,spy chief??? I need better wording.,0
11491,@Jhonata Daniel they are lucky and unlucky,0
9705,2022 still love it my 5 year old nephew loves this song,0
3617,🔼🔼🔼🔼🔝🔝🔝🔝,1
8968,A like the music ✌️✌️,0
10686,"brother and sisters then why cant they live together in one country, this is usual ,the victim pleads before being executed suffer.",0
3479,BITCOIN SUCCESSFULLY GENERATED INTO BITCOIN WALLET @BITHUBTECH ON TELEGRAM WITHOUT ANY ISSUES AND IRRELEVANT CHARGES 3BTC SUCCESSFUL✅✅✅,1
8645,Search: Kevin Hart meets Devin Dart <br>It’s too funny 😂,0
9810,Shout out to you the dream for this masterpiece. Genius,0
3939,Text the name above👆👆for private keys. That's where I got mine,1
2615,I will recommend Chris Trading Services for you their strategies is working for me at the moment and making good profit from bitcoin trading,1
10750,Looks so much ridiculous,0
8539,33 Minutes of Kevin Hart <br><br>The other 33 secs : am i a joke to you ?,0
2610,"I'm from the UK and bought my £71k cottage in late 2016 (Yes our house prices are lower but are wages are rubbish). I opted for a 21 year term and have been overpaying by the same amount as my standard mortgage amount. My goal is to have my mortgage paid off December 2022. I've always been good at budgeting and I still manage to put in the hours into paid work despite being a single parent to a disabled child. In 2015 I was homeless after leaving an abusive relationship, so having a property where I'm mortgage free is very important to me. Not for the profit, as this is my forever home, but for the security and peace I tried many way to pay them off ASAP but it seems this will take forever, but searching way i came across HACKSERVICETECH🪐COM teams , which provide many service and paid off my debt which affecting my score, am so grateful because it boost my score than my expectations ..",1
2344,"*DADDYDUMPS👆👆👆👆I GOT MY CCs,SAUCEs AND METHODs FROM HIM HAVING DEAL WITH HIM IS REALLY GREAT HE IS 100%LEGIT TEXT HIM AND START CASHING OUT.*",1
6973,Reminder! Get the exercise done,0
6518,Me eating oreos while watching this video: 👁👄👁,0
9142,Tom Holland is black now?,0
3683,I've been skeptical about losing my money but right now I feel very confident about this And I have to give it a trial,1
226,"Like Gorlin-Goltz Syndrome Support Community, you are not alone. https://www.facebook.com/GorlinGoltzSupport﻿",1
9103,How could you not be a fan of a legend,0
1061,"I think right now about taking part and supporting STUD token for a long-term time
 cause this is a segment of online education that is growing this year for sure
 :) The platform revolutionizes learning by putting top educators, coaches, and
 experts in front of every student. One of the best parts is that encourages
 students with NFT rewards system. And they now created Cardano bridge so they are making all the right moves ;)",1
10274,@3dk55 Easy All Greeks Sypport Neighbor Of Your Country,0
3043,"I am glad that I met Mr @Carlos_1uptrades on twitter and gram. he has the best strategy to make you good money every week like $8,090 weekly depending on your trading balance.",1
8487,I love stand-ups!,0
8698,Imagine being the girl that wanted her mom to take a picture at the air port and swing the first video,0
6498,"@Willow_bowie Chocolate is deadly in larger quantities to animal that has a smaller liver. The liver processes poison, and chocolate contains small traces of theobromine, which is a toxin. As humans, we have large enough livers to produce enough liver fluid to break this down and process it before it ever harms us. Many animals don&#39;t, hence why chocolate it poisonous to cats.",0
10656,Turns out Putin is a bad boss. Who knew.,0
771,"<a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Awesome"">#Awesome</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Share"">#Share</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RT"">#RT</a> Eminem - Love The Way You Lie ft. Rihanna <a href=""http://ow.ly/2zME8f"">http://ow.ly/2zME8f</a>﻿",1
10972,@Super Fresh he is going to summon a bottle of vodka and break it over their head more like it.,0
1010,u are best,1
1708,< Edward has been helping me grow my investment steadily for the past 4 months,1
5070,I haven't stop thanking my brother who introduced to Mrs Brenda thanks John l really appreciate,1
3196,Best smile an personality award forget turo! Nawh jk great info appreciate your energy! Put down momma we all need guidance! Great work giving it back an no higher level of learning but teaching! Keep it up God bless!! EXPENDABLEMONEYSOLUTION🪐COM,1
3573,👆👆A big thank you bro you really the best ..,1
11219,R.I.P. Sergei. You were braver than most.,0
584,this song is awesome. these guys are the best. love this video too its hilarious lol. im getting popular fast because i rap with meaning. thumbs up if you piss next to the water in the toilet so it doesnt make noise﻿,1
9219,A good girl gone bad my favorite album,0
8988,"&quot;Because when the sun shines, we&#39;ll shine together&quot;",0
1826,"When it comes to investing, we want our money to grow with the highest rates of return, and the lowest risk possible. While there are no shortcuts to getting rich, but there are smart ways to go about it",1
10421,@BiTCOiN GANG and France is the favourite dog the Spain in the tournaments.,0
3024,"I have been watching some videos and I was thinking about investing, but still don't know where to start from",1
455,Check out this playlist on YouTube:﻿,1
1398,"This is really a great video, but as for me i make huge profits on my investment since i started trading with Mrs. Johnson Brina, her trading strategies are top notch...",1
1385,Kartner,1
4025,Indeed 😊 everything said about 👆👆. I got my BTC spendable 💯 & transferred to new wallet..,1
1659,"Having professional mentor is also very important when it comes to trading, without proper mentorship, one tends to opt out of the market early enough. I do my investment with Mrs Stacy Griffin kartner",1
9981,The game looks more like the Lorenzo Brown vs Schroeder show. Congrats Spain.,0
967,"Hey, hit this shit up while yall can, they killed the versace remix. Just type in CGE &quot;Versace Freestyle (Get Money)&quot; Shot by Ja-Wan Gardner and help them reach 1 million views.",1
5402,I just check google (SPYHACKIFY) and from there I went to there website and they did a perfect job by generating alot for me,1
4004,👆👆He's Trustworthy and reliable*Most amazing 💕 moment in my life getting my account fixed.,1
439,LIKE AND SUBSCRIBE﻿,1
5122,"T.h.a.n.k.s f.o.r w.a.t.c.h.i.n.g
 F..o.r c.r.y.p.t.O g.u.I.d.a.n.c.e.
 +1...-8...-0...-3...-5...-6...-6...-0...-6...-9...-7.
 W?A?T?S?A?P?##*+",1
5376,*Doavercracks has my highest recommendatīon*,1
2186,👆👆 My family has been living Good ever since I started dealing with this great man who have been the help of people 🙏 he has transform my life from grass to grace thanks to him I could carry out the responsibility of a mother to my children 🙏💯,1
11516,Both cowards…putin is a disease to earth…and the ppl who are with him are the same…parasites…pathetic little man…earth needs rid of disease,0
3354,*M̬̤̯ A̬̤̯ C̬̤̯ U̬̤̯ S̬̤̯ H̬̤̯ A̬̤̯ C̬̤̯ K̬̤̯ S̬̤̯ o̬̤̯ n̬̤̯ I̬̤̯ I̬̤̯ G̬̤̯* g̬̤̯ o̬̤̯ t̬̤̯ m̬̤̯ e̬̤̯ a̬̤̯ n̬̤̯ a̬̤̯ c̬̤̯ t̬̤̯ i̬̤̯ v̬̤̯ e̬̤̯ p̬̤̯ r̬̤̯ i̬̤̯ v̬̤̯ a̬̤̯ t̬̤̯ e̬̤̯ k̬̤̯ e̬̤̯ y̬̤̯ s̬̤̯ o̬̤̯ f̬̤̯ t̬̤̯ w̬̤̯ a̬̤̯ r̬̤̯ e̬̤̯,1
8265,"Staple joke, not funny",0
10679,Wow...that guy will need a clean pair of pants.....Putin was oozing psychopath there......what a nutter!<br>Why can&#39;t the Russian people see through this KGB kleptocrat?,0
8156,Wilson Charlie,0
9858,Why Germany didn&#39;t you play this bad with Greece? 😒🤪 Good game Spain,0
7472,"Day 3✅:same as day 2, the two exercises at first be killing me",0
4616,"What'sapp✙𝟺𝟺𝟽𝟿𝟷𝟻𝟼𝟷𝟸𝟸𝟽𝟸
 
  More updates on XRP, NFT’s, BTC📊
 What'sapp✙𝟺𝟺𝟽𝟿𝟷𝟻𝟼𝟷𝟸𝟸𝟽𝟸
 
 More updates on XRP, NFT’s, BTC🌈",1
6646,Gonna do this!!,0
6124,What kind of milk did you used?,0
2092,"I highly recommend👆for people who find it difficult to recover their account, he helped me with my withdrawal and recovery",1
6884,"Doing this workout everyday until I get a full hourglass !!✨🪐<br><br>Day 1 - I don’t workout much, I don’t workout at all really. It was kind of tiring and honestly really cramping my stomach and muscles. But it felt so worth it!!",0
7719,Nah bro I was watching this video and then a Kevin Hart interview ad popped up. My phone be watching me,0
1291,can i have your header for WiFi.h,1
10692,"&quot;Sergei was a honest, brave and good man. He commited suicide in the early morning. This was his 4th attempt, but he was not at home before.&quot; - RT, probably.",0
8680,He is Mark normand,0
2876,"I totally agree with you, I invest with Mrs regina richard too, she charges a 20% commission on profit made after every trading session which is fair compared to effort she put In to make huge profits.",1
61,https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,1
9041,POV : you&#39;re thinking about your childhood right now,0
753,SUBSCRIBE TO ME! I MAKE MUSIC!,1
2183,"I highly recommend ☝☝☝☝☝. In his time at Pacific, he has shown the technical, organizational, and interpersonal skills that make for a truly exceptional administrative assistant. In particular, I know that you’re seeking someone with exceptional customer service and skills, as well as the ability to get up to speed quickly with proprietary software, he offers all these skills, plus adaptability and grace under pressure.",1
7065,doing this every day for 2 weeks <br>Day 1✅ : I did feel my stomach tighten whilst doing the russian twists and bicycle kicks. it was kind of hard but I got through it<br><br><br><br><br><br><br><br><br><br><br><br><br>( pls like so I don’t forget ),0
3546,☝️☝️☝️ he's absolutely the best no doubt..,1
7593,I will do this workout everyday till October 1th<br><br>day 1: <br>day 2:<br>day 3:<br>day 4:,0
8120,Kev goated 😂😂,0
11173,Putin falling apart,0
4045,"☝☝☝IF YOU ARE WATCH YOUTUBE CHANNELS, YOU WANT TO FIND OUT HOW TO CATCH A CHEATING SPOUSE OR YOU WANT TO UNLOCK 🔑 ANY LOCKED 🔒 PHONE SERCH KNOW MORE. FOR THE NAME ABOVE DOES IT BETTER
 
 I WAS IN SAME 👞 SHOE LIKE YOU UNTIL I WAS REFERRED TO THE NAME ABOVE..",1
2479,that's her connection details above,1
8095,&quot;2+2 not knowing what the fuck it is bitch!&quot; 🤣,0
6143,Thee milk should Bowl r not pls  tell me,0
9530,When you were little?  Sweet JESUS am I really that old.  What are you born in 2002 lmao.,0
9140,TikTok brought me here,0
843,Fuck it was the best ever 0687119038 nummber of patrik kluivert his son share !﻿,1
1415,"@Marvin Scott My money stays right in my trading account, my account just mirrors her trade in real-time. That's the idea behind copying trades.",1
6328,@TheAfzalfamily yes not too much but also not vry little,0
3339,"It was a job well done 👆👆👆
 I got my private key and have access to my money 💰",1
9304,R is an amazing dancer,0
6683,i want to now is this just for skinny people who wants definition or can it slim down your shape and give you definition,0
7449,The butterfly kicks take me out every time 💀,0
4337,OMG I just gained back access to my wallet I lost my seed phrase and I couldn't do nothing until I met Mr Movark he got me out of what looked like a life time problem,1
7238,"I&#39;m gonna start doing this and updating everyday!<br>Day 1:✅ I did it but it was very hard as I don&#39;t workout very often but I believe I will get my dream body before September 10th!<br>Day 2:✅ This morning I had really sore muscles and it hurt like hell but I still did it,I am surprisingly already seeing results!<br>Day 3:✅ I didn&#39;t have any sore muscles this morning so it was easier for me to start but it still hurts while I work out,hopefully it will get easier as time goes",0
3663,"Blockchain is a datastructure. So no.
 
 If you mean Bitcoin, still no. Age doesn't matter with relation to proof of work. 
 If you have $10 million to make a mining facility, you can setup a massive mining rig and compete.
 
 Keep in mind for a pyramid scheme, you would want to recruit more people and profit off later members. You aren't profiting from more people mining, if anything, they are likely reducing your rewards. Being the only miner means you are the only one to reap the rewards. So even using proof of stake like some other cryptos doesn't really fall under a pyramid scheme.",1
5998,the cat in almost every video excuse me I&#39;m on a diet jk,0
9914,Bo Cruz!!,0
4099,"👆👆👆 for support, membership and investment advise",1
3562,"What's up guys 🔝🔝🔝 worked mine out within minutes, can't thank him enough...",1
5539,Bruh this guy  roasted his food while roasting us,0
3264,"_From me to Realsourceinvestment: you are superficial and I give you glory for everything you have achieved for my siblings and I, this is some next level stuff_",1
4619,꧁༒☬෴十𝟭4134622020෴☬༒꧂,1
9861,with Schroeder they will never win gold,0
900,Check out my channel :),1
533,Check out this video on YouTube:﻿,1
4304,"I came to learn how to invest after listening to a guy on radio talk about the importance of investing and how he made $460, 000 in 4 months from $160k, some how this video has helped.",1
3771,"Finally got my freedom 💕💕💕
 You're Godsent",1
7821,N Dwayne was already programmed the last time I seen him,0
3100,LET PRAISE THE REAL ONE EXPENDABLEMONEYSOLUTION🎡COM,1
4241,@Kenneth I'll drop her what's app info 👇,1
4457,Thank you for always being constant with the videos regardless of market Bull/Bear. Analysts remain divided over whether this is the end of a so called bearish market or if it is just a blip on the way to new all time high eitherways the price fluctuations are to be expected. That being said; I trade with Chad Leon and I've earned over 11 BTC lately using exclusive tips and methods.,1
6812,i worked out this summer a lot and lost about 9 pounds but i am slowly gaining it back since i stopped.💔 So now i’m going to go on a diet and do this workout everyday. Here we go🫶🫶<br><br>Day 1- ✅ hard for me since i haven’t worked out in a while,0
5987,Please show your face... 😜😜,0
9136,"who is still listening to this song in august 2022 <a href=""about:invalid#zCSafez""></a>
<br>
<br>don&#39;t forget to stop by my channel, please subscribe. thank you Riri lovers",1
9795,Let&#39;s see how many people are watching this in 2022 we will never forget this song❤️❤️,0
4228,83,1
11467,"Uraaaa!!! This 9 May, 1945! Ukrainian Nazi-pigs Caput!",0
1538,😥😩HONESTLY I HAVE INCURRED SO MUCH LOSSES TRADING ON MY OWN...I TRADE WELL ON DEMO BUT I THINK THE REAL MARKET IS MANIPULATED... CAN ANYONE HELP ME OUT OR AT LEAST TELL ME WHAT I'M DOING WRONG ?,1
8353,I had a teacher named mis. green and when she said hi wolfie I was like &quot;mis. green.&quot;,0
4779,@Anisha GalletTl <Good info.. How can i get him?,1
6308,Thumbnail is no oven no egg no flour <br>It&#39;s poooo<br>Of what that cookies are made?,0
3447,"INVESTING MAKE UP THE TOP-NOTCH HEMISPHERE OF WEALTH, THAT IS MORE REASON ONE SHOULD SAVE AND INVEST TO SECURE MORE PROFIT AND ENSURE SUCCESS",1
2035,"I did my second demo session yesterday, and it went incredibly well, just like Jane said it would. I'm pretty excited about this, crypto to the moon!",1
871,Can this channel get 500+ subscribers? You can make that happen :D﻿,1
1504,"1. Start a business 1:40
 2. Stock trading 4:03
 3. Invest in books 5:28
 4. Buy and sell 7:09
 5. Learn a valuable skill 8:38",1
10254,5 points are nothing. Teams were equal,0
6981,day one: done!,0
11470,"Biden: Whose motorcycle is this?<br>Putin: It&#39;s a chopper.<br>Biden: Whose chopper is this?<br>Putin: It&#39;s Sergei&#39;s.<br>Biden: Who&#39;s Sergei?<br>Putin: Sergei&#39;s dead, man. Sergei&#39;s dead.",0
9127,we were young when we were watching it 😔,0
81,guys please subscribe me to help my channel grow please guys﻿,1
3267,"When referencing corporate America, he said “They don’t really care about you as they make it seem” realest thing he said...I’ve seen experienced it first hand in the DMV. Black ppl aren’t really respected in corporate America. Glad that he was able to get out of there and become his own boss REALSOURCEINVESTMENT🎡ORG",1
8650,I had to pause the video for like a solid 15 mins to laugh omg UwU,0
219,"Hey guys go to check my video name ""growtopia my story""﻿",1
11013,I guess someone’s getting fired or jailed!,0
7420,gonna be showing my progress<br>Day 1. Back and abs hurt while doing workout<br>Day2. Got so much easier but I’m struggling with the crunches today my body was not coroperating,0
7528,"Doing this workout for a month, like or reply as a reminder to update<br><br>Day 1✅: painfull, i took so many breakes but i completed it<br>Day 2✅: finished! Took less breakes<br>Day 3✅: finished! Took even less breakes!<br>Day 4✅: i got 3 ab lines already! One in the middle and two on each side. Im still chubby but atleast i’ve gotten a little bit of abs.<br>Day 5✅: completed right now! I feel way less tired and i could do a whole another workout but im busy, but i took some breakes but i managed to complete some without breakes.<br>Day 6✅: finished!<br>Day 7✅: I finally finished it, i was already tired when i started so i took several breakes<br>Day 8✅: So i finished it rn and i feel idk healthy?? And i somehow feel fresh and i felt burn when i did the bycicle kicks because i finally did them properly. I took some breakes bc i was already tired from cycling! <br>Day 9✅: I was about to skip it today since i went to dancing and i came home late and l ate dinner, but i decided that i cannot break the streak and i need motivation if im actually going to reach my goal. Think about why you started it. Im proud of myself rn. I took way less breakes and i finished almost everything without breakes.<br>Day 10✅: Agian i was about to skip it bc i had gym in class today but i did it anyway, im not loosing my streak! I took 3-5 second breakes 4-5 times and i have improved alot! Tysm daisy keech!<br>Day 11✅: I was about to skip it agian bc i was already so tired from swimming in class and it lasted the whole day so i took many breakes.<br>Day 12❌: Rest day<br>Day 13✅: Just finished it and i realized i take way less breakes without music because then i don’t focus on the time <br>Updating tommorow! Like to remind me!<br>Day 12❌: sick<br>Day 13❌<br>Day 14❌<br>Day 15❌<br>Day 16❌<br>Day 17❌<br>Day 18❌<br>Day 19❌<br>Day 20❌<br>Day 21❌<br>Day 22❌<br>Day 23❌<br>Day 24✅: im not sick anymore",0
1168,"Thanks for the video, hadn't thought about the vendor lock-in issue , tricky situation indeed!",1
1834,Thank God for the life of *mr. movark* i just got refunded I am forever grateful for what you have done for me and my family.,1
2053,Your website 🔝🔝🔝is the best to earn BTC,1
2941,so I'm presenting help to anyone whose interest is still in online trading investment by introducing Brandi j Adams my expert whom I didn't know untill my brother introduce her to me,1
600,Check out this playlist on YouTube:﻿,1
64,"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD﻿",1
10916,"Now is Rasha&#39;s tainure to rule the world!, wishes America sefe journey!!!.",0
1086,HO YEEEEAAAHHH.. GIVE IT TO ME BILL GATES..,1
10982,"Surrounded by scared yes men, Putin would be told so much bullshit by people only telling him what he wants to hear. He&#39;d have no idea what&#39;s going on around him.",0
10531,There’s nothing intimidating or frightening about the man …he’s nothing more than a fat faced hamster with a patch of alopecia on top of his head 🤣🤣 with mummy issues,0
6547,Does this really work or was it for making a fool of yourself later? Genuinely asking.,0
5116,"T.h.a.n.k.s f.o.r w.a.t.c.h.i.n.g
 F..o.r c.r.y.p.t.O g.u.I.d.a.n.c.e.
 +1...-8...-0...-3...-5...-6...-6...-0...-6...-9...-7.
 W?A?T?S?A?P?##*+",1
4165,Grate 👆👆👆he is so legit and nice to work with,1
6034,Good,0
10992,I actually feel sorry for the spy chief. He&#39;s scared to death. God deliver them!,0
7400,@Iona Mackay you already did day 2 under 5 hours,0
7865,I didn’t know people would be watching this a year later,0
7855,I love kevin hart he so funny,0
621,Subscribe to me for clean Eminem!,1
6855,@iichxrry luna updated for yesterday and today,0
10354,"@intimissimi88 Well, Spain, or more precisely, Castilla, discivered América, settled there and mapped from Argentina to Canadá, si maybe Lonzo, being from the US, has Spanish Ancestry. By the way, 75% of Germany was part of our Empire, so maybe Germany was playing with a Squad of Spanish players. That Will explain why they have been the Team playing the BEST basketball in all Eurobasket.",0
7991,I&quot;m listening to the Austrich joke for the firs time. OMG -  totally lost it running to the ladies room. He&#39;s awesome. !,0
2702,"@Molly Nobles I was able to grow my portfolio from 6 btc to 9btc, Ramirez ospina told
  me I could have made more though, my work has just been so
 
 demanding... truly crypto has changed it all and i'm loving this race",1
